count,value
937,Children
891,Breast cancer
860,Obesity
826,Depression
821,Quality of life
816,Cancer
768,Meta-analysis
764,Optimization
751,Climate change
741,Inflammation
683,Machine learning
652,Epidemiology
630,Sustainability
620,Systematic review
598,Education
589,Oxidative stress
570,Physical activity
559,Apoptosis
552,Mortality
538,Simulation
