count,value
41203,Computer Science
20468,Artificial Intelligence (incl. Robotics)
19422,Engineering
12753,Information Systems Applications (incl. Internet)
9872,Computer Communication Networks
9028,Information Storage and Retrieval
9009,Medicine & Public Health
7851,Life Sciences
7828,Algorithm Analysis and Problem Complexity
7312,Data Mining and Knowledge Discovery
6980,"Computer Science, general"
6950,User Interfaces and Human Computer Interaction
6843,Software Engineering
6705,Pattern Recognition
6415,Image Processing and Computer Vision
5434,Computational Intelligence
5044,Mathematics
4608,Computer Appl. in Life Sciences
4587,"Communications Engineering, Networks"
4457,Bioinformatics
