count,value
2804,Encyclopedia of Systems Biology
1192,The International Journal of Advanced Manufacturing Technology
793,Wireless Personal Communications
607,BMC Bioinformatics
547,Journal of Molecular Modeling
506,Neural Computing and Applications
351,Datenschutz und Datensicherheit - DuD
314,Proceedings of the 2012 International Conference on Information Technology and Software Engineering
307,Telecommunication Systems
301,HCI International 2013 - Posters’ Extended Abstracts
301,Proceedings of the International Conference on Information Engineering and Applications (IEA) 2012
291,The Journal of Supercomputing
286,Proceedings of 2013 Chinese Intelligent Automation Conference
273,BMC Public Health
265,Scientometrics
263,Medical Image Computing and Computer-Assisted Intervention – MICCAI 2013
260,Science China Information Sciences
250,Neural Information Processing
246,Computational Science and Its Applications – ICCSA 2013
236,Human-Computer Interaction – INTERACT 2013
