count,value
670,Gynäkologie und Geburtshilfe 1992
326,ICANN ’93
180,Computer Assisted Radiology / Computergestützte Radiologie
129,Biological Cybernetics
123,Simulation of Semiconductor Devices and Processes
117,Computer Analysis of Images and Patterns
115,New Trends in Neural Computation
113,Medical and Biological Engineering and Computing
106,Artificial Neural Nets and Genetic Algorithms
104,Informatik — Wirtschaft — Gesellschaft
92,Machine Learning
89,Optical and Quantum Electronics
88,"Behavior Research Methods, Instruments, & Computers"
85,Geostatistics Tróia ’92
80,Computation and Neural Systems
80,Numerical Algorithms
79,Database and Expert Systems Applications
79,PARLE '93 Parallel Architectures and Languages Europe
78,Fuzzy Logic
77,Annales Des Télécommunications
