count,value
48,simulation
38,Neural networks
30,optimization
23,Human
20,Model Check
20,neural networks
19,computer simulation
19,knowledge representation
18,Control technology
17,expert systems
17,Global optimization
17,modeling
16,LOGO
16,parallel algorithms
16,Pedagogical robotics
16,sensitivity analysis
15,CAD
15,concurrent engineering
15,logic programming
15,Neural Network
