count,value
2987,Scientific Reports
2322,The International Journal of Advanced Manufacturing Technology
2314,Multimedia Tools and Applications
1583,Encyclopedia of Social Network Analysis and Mining
1153,Neural Computing and Applications
1077,Cluster Computing
1043,Wireless Personal Communications
954,Encyclopedia of Clinical Neuropsychology
856,Nature Communications
776,Computer Vision – ECCV 2018
757,Soft Computing
635,The Journal of Supercomputing
598,Journal of Ambient Intelligence and Humanized Computing
465,Wireless Networks
455,BMC Bioinformatics
420,Optical and Quantum Electronics
418,Scientometrics
401,Neural Information Processing
400,Annals of Operations Research
386,Cloud Computing and Security
