count,value
52519,Computer Science
44303,Engineering
33694,Artificial Intelligence (incl. Robotics)
23027,Medicine & Public Health
17806,Computer Communication Networks
16117,Computational Intelligence
11604,Data Mining and Knowledge Discovery
11484,Image Processing and Computer Vision
10276,Information Systems Applications (incl. Internet)
9346,Business and Management
9277,"Communications Engineering, Networks"
8215,User Interfaces and Human Computer Interaction
7588,Special Purpose and Application-Based Systems
7411,Mathematics
7379,Education
7306,Life Sciences
6824,Systems and Data Security
6175,Biomedicine
6124,Social Sciences
5979,Earth Sciences
