count,value
1500,Machine learning
1331,Deep learning
947,Classification
815,Optimization
813,Cloud computing
812,Big data
670,Data mining
665,Clustering
635,Simulation
626,Security
582,Genetic algorithm
534,Sustainability
531,Climate change
527,Social media
509,Education
450,Feature extraction
437,Feature selection
424,Virtual reality
385,Neural network
383,Internet of Things
