count,value
12424,Computer Science
5496,Artificial Intelligence (incl. Robotics)
3348,Engineering
2959,Computer Communication Networks
2935,Theory of Computation
2852,Software Engineering/Programming and Operating Systems
2094,IT in Business
2092,Mathematics
1753,Electrical Engineering
1696,Programming Techniques
1557,Software Engineering
1426,"Data Structures, Cryptology and Information Theory"
1422,"Programming Languages, Compilers, Interpreters"
1416,Algorithm Analysis and Problem Complexity
1365,Physics
1347,Image Processing and Computer Vision
1305,Medicine & Public Health
1195,Business and Management
1168,Multimedia Information Systems
1157,Information Systems Applications (incl. Internet)
