count,value
1511,Encyclopedia of GIS
745,BMC Bioinformatics
739,Encyclopedia of Algorithms
641,The International Journal of Advanced Manufacturing Technology
486,Encyclopedia of Multimedia
385,International Journal of Material Forming
323,Knowledge-Based Intelligent Information and Engineering Systems
276,Computational Science – ICCS 2008
268,Intelligent Robotics and Applications
258,Medical Image Computing and Computer-Assisted Intervention – MICCAI 2008
250,Experimental Brain Research
244,Automation and Remote Control
244,Computer Vision – ECCV 2008
228,Advances in Visual Computing
228,Neural Information Processing
203,Artificial Neural Networks - ICANN 2008
202,Datenschutz und Datensicherheit - DuD
200,Computers Helping People with Special Needs
197,Computational Science and Its Applications – ICCSA 2008
192,Advances in Neural Networks - ISNN 2008
