count,value
33679,Computer Science
13228,Artificial Intelligence (incl. Robotics)
8795,Computer Communication Networks
8415,Engineering
8126,Information Systems Applications (incl. Internet)
6992,Theory of Computation
6608,Software Engineering/Programming and Operating Systems
6420,Database Management
6001,Information Storage and Retrieval
5782,Programming Techniques
5690,Medicine & Public Health
5419,Data Mining and Knowledge Discovery
4884,Software Engineering
4599,Image Processing and Computer Vision
4558,Algorithm Analysis and Problem Complexity
4380,Life Sciences
4236,User Interfaces and Human Computer Interaction
4048,Pattern Recognition
3641,Mathematics
3379,Computation by Abstract Devices
