count,value
5662,Computer Science
5629,User Interfaces and Human Computer Interaction
3271,Information Systems Applications (incl. Internet)
2583,Computer Communication Networks
2578,Artificial Intelligence (incl. Robotics)
2218,Multimedia Information Systems
2185,Information Storage and Retrieval
1631,Software Engineering
1381,Data Mining and Knowledge Discovery
1201,Computers and Society
942,Logics and Meanings of Programs
790,Pattern Recognition
618,Database Management
605,Computers and Education
589,Image Processing and Computer Vision
537,Computer Graphics
487,Special Purpose and Application-Based Systems
419,Simulation and Modeling
417,Operating Systems
396,Computer Applications
