count,value
68,Computer Science
43,User Interfaces and Human Computer Interaction
22,Engineering
22,"Engineering, general"
18,Software Engineering/Programming and Operating Systems
14,Psychology
13,Software Engineering
12,Computer Graphics
12,"Psychology, general"
9,Artificial Intelligence (incl. Robotics)
6,Computer Applications
6,Education
4,Document Preparation and Text Processing
3,Business and Management
3,Computer Communication Networks
3,Information Systems Applications (incl. Internet)
3,IT in Business
3,"Programming Languages, Compilers, Interpreters"
3,Programming Techniques
2,"Administration, Organization and Leadership"
