count,value
52,Nature
35,Trump and Political Philosophy
23,The Roads to Congress 2016
22,Political Behavior
18,"Global Encyclopedia of Public Administration, Public Policy, and Governance"
17,Society
17,US Foreign Policy in a Challenging World
16,Die gespaltenen Staaten von Amerika
16,Zeitschrift für Außen- und Sicherheitspolitik
14,Academic Questions
14,"Post-Truth, Fake News"
11,Contemporary Political Theory
10,Catholics and US Politics After the 2016 Elections
10,Hayek: A Collaborative Biography
10,Justin Trudeau and Canadian Foreign Policy
10,Republican Orators from Eisenhower to Trump
10,The Future of East Asia
10,The Statesman’s Yearbook 2018
9,International Politics
9,Journal of Environmental Studies and Sciences
