count,value
561,Political Science and International Relations
318,Social Sciences
199,US Politics
168,Political Science
136,Business and Management
134,Cultural and Media Studies
134,Economics
124,Education
115,Popular Science
111,Foreign Policy
100,Philosophy
99,Political Communication
99,"Sociology, general"
97,Political Economy/Economic Policy
97,"Social Sciences, general"
96,Political Sociology
95,Electoral Politics
94,Media and Communication
92,Computer Science
92,Political Philosophy
