count,value
21703,Computer Science
10862,Artificial Intelligence (incl. Robotics)
7450,Computer Communication Networks
5243,Information Storage and Retrieval
4729,Theory of Computation
4712,Software Engineering/Programming and Operating Systems
4605,Information Systems Applications (incl. Internet)
4329,Engineering
4281,Software Engineering
3912,Algorithm Analysis and Problem Complexity
3455,Computation by Abstract Devices
3384,Database Management
3236,Mathematics
3198,Programming Techniques
3125,Mathematical Logic and Formal Languages
3045,User Interfaces and Human Computer Interaction
2560,Image Processing and Computer Vision
2411,"Programming Languages, Compilers, Interpreters"
2389,Electrical Engineering
2349,Medicine & Public Health
