count,value
30,Business and Management
30,"Business and Management, general"
30,Marketing
30,Online Marketing/Social Media
2,Artificial Intelligence (incl. Robotics)
2,Computer Hardware
2,Computer Science
2,Computer Systems Organization and Communication Networks
2,Computing Methodologies
2,Software Engineering/Programming and Operating Systems
