count,value
140,Medical and Biological Engineering and Computing
87,First European Simulation Congress ESC 83
82,Behavior Research Methods & Instrumentation
71,Journal of the International Association for Mathematical Geology
63,Mustererkennung 1983
62,Optical and Quantum Electronics
61,Engineering Software III
60,"Automata, Languages and Programming"
57,Annales des Télécommunications
55,Acta Informatica
46,Cybernetics
45,GI - 13. Jahrestagung
44,Computer Algebra
44,Foundations of Computation Theory
43,Numerische Mathematik — 40 BASIC-Programme
42,Dokumentations- und Ordnungslehre
40,Kommunikation in Verteilten Systemen — Anwendungen und Betrieb
39,Computer Graphics
39,Computers in Critical Care and Pulmonary Medicine
38,Electronic Systems Effectiveness and Life Cycle Costing
