count,value
1912,Computer Science
662,Mathematics
654,Engineering
587,Medicine & Public Health
505,Physics
438,"Computer Science, general"
325,Software Engineering/Programming and Operating Systems
297,"Programming Languages, Compilers, Interpreters"
274,Life Sciences
265,Computer Communication Networks
254,Imaging / Radiology
245,Neurosciences
238,Biomedical Engineering
231,Theory of Computation
229,Biomedicine
223,"Mathematics, general"
213,Characterization and Evaluation of Materials
198,Artificial Intelligence (incl. Robotics)
187,Human Physiology
185,Software Engineering
