count,value
10,Artificial Intelligence (incl. Robotics)
10,Computer Appl. in Administrative Data Processing
10,Computer Communication Networks
10,Computer Science
10,"Computer Science, general"
10,Information Systems Applications (incl. Internet)
10,Software Engineering
1,Business and Management
1,"Business and Management, general"
