count,value
584,Chinese Science Bulletin
362,"Encyclopaedia of the History of Science, Technology, and Medicine in Non-Western Cultures"
362,Journal of Central South University of Technology
268,Intelligent Robotics and Applications
266,Science in China Series E: Technological Sciences
227,Journal of Materials Science
218,Science in China Series D: Earth Sciences
214,Journal of Wuhan University of Technology-Mater. Sci. Ed.
214,The International Journal of Advanced Manufacturing Technology
201,Environmental Monitoring and Assessment
198,"Science in China Series G: Physics, Mechanics and Astronomy"
192,Advances in Neural Networks - ISNN 2008
190,Science in China Series A: Mathematics
186,7th Asian-Pacific Conference on Medical and Biological Engineering
184,Research and Practical Issues of Enterprise Information Systems II
181,Advances in Cognitive Neurodynamics ICCN 2007
180,Journal of Zhejiang University-SCIENCE A
177,Journal of Huazhong University of Science and Technology [Medical Sciences]
177,The Chinese-German Journal of Clinical Oncology
167,Environmental Geology
