count,value
57,United States
18,United Kingdom
16,Germany
9,Turkey
8,Australia
6,Spain
5,Malaysia
4,China
4,Israel
4,Japan
3,India
3,Italy
3,Netherlands
3,South Korea
2,Canada
2,Hong Kong
2,Ireland
2,Portugal
1,Austria
1,Belgium
