count,value
2,Archives of Sexual Behavior
1,Containing Madness
1,Evaluating Campus Climate at US Research Universities
1,Innovative Higher Education
1,Journal of Child and Family Studies
1,Palgrave Communications
1,Second International Handbook of Internet Research
1,TechTrends
1,The Palgrave International Handbook of Women and Outdoor Learning
1,The Roads to Congress 2016
