count,value
4808,Computer Science
1488,Artificial Intelligence (incl. Robotics)
1398,Engineering
1326,Physics
1187,Mathematics
939,Medicine & Public Health
878,Computer Hardware
813,"Computer Science, general"
806,Appl.Mathematics/Computational Methods of Engineering
792,Software Engineering/Programming and Operating Systems
681,Mechanics
661,"Programming Languages, Compilers, Interpreters"
660,Theory of Computation
614,"Computer-Aided Engineering (CAD, CAE) and Design"
583,Engineering Design
567,Computer Graphics
534,Computer Communication Networks
533,Thermodynamics
525,Life Sciences
519,Business and Management
